compound,smiles,mutagenic,MW,LogP,HBD,HBA,TPSA,RotBonds,AromaticRings,RingCount,HeavyAtoms,MolMR,FractionCSP3,NumAliphaticRings,BertzCT,Chi0,Chi1,Kappa1,Kappa2,LabuteASA,NumHeteroatoms,MaxPartialCharge,MinPartialCharge,NumNitrogens,NumOxygens,NumHalogens,NumSulfurs,HasNitroGroup,HasNitroso,HasAromaticAmine,HasAlkylHalide
2-nitrofluorene,O=[N+]([O-])c1ccc2cc3ccccc3cc2c1,1,223.231,3.901200000000002,0,2,43.14,1,3,3,17,68.10840000000002,0.0,0,734.4562652641641,11.828062645816686,8.237183443017882,9.781107035232184,3.55710999635206,97.44770790546718,3,0.2695661120628807,-0.25830932519570377,1,2,0,0,0,0,0,0
2-acetylaminofluorene,CC(=O)Nc1ccc2cc3ccccc3cc2c1,1,235.286,3.9514000000000022,1,1,29.1,1,3,3,18,75.75770000000003,0.0625,0,746.2611131494824,12.535169427003234,8.720346690612276,10.782020961567781,4.148854348346499,105.23600069541241,2,0.2207477381208965,-0.326316380060032,1,1,0,0,0,0,0,0
4-nitroquinoline N-oxide,O=[N+]([O-])c1ccc2ncccc2c1,1,174.159,2.143,0,3,56.03,1,2,2,13,48.397400000000026,0.0,0,467.8762845243794,9.259148545064338,6.270856947829096,7.6673647482844585,2.8199872043704444,73.98569135467848,4,0.26967983526635403,-0.2583093126081448,2,2,0,0,0,0,1,0
1-nitropyrene,O=[N+]([O-])c1ccc2ccc3cccc4ccc1c2c34,1,247.253,4.492200000000002,0,2,43.14,1,4,4,19,76.80040000000004,0.0,0,927.5168646967957,12.982763184195939,9.254020195423491,10.261797512956033,3.4173259723894986,108.10839731733796,3,0.2767532674649996,-0.2582903621078463,1,2,0,0,0,0,0,0
nitrobenzene,O=[N+]([O-])c1ccccc1,1,123.11099999999996,1.5948,0,2,43.14,1,1,1,9,33.0964,0.0,0,207.5576620543373,6.69023444431199,4.304530452640311,5.751233595800525,2.2593342006647616,52.08437884199676,3,0.2689216270439583,-0.2583096384435056,1,2,0,0,0,0,0,0
2-nitrotoluene,Cc1ccccc1[N+](=O)[O-],1,137.138,1.9032200000000001,0,2,43.14,1,1,1,10,37.83340000000001,0.14285714285714285,0,257.53794892648057,7.560477932315068,4.71521405516327,6.7360092807424605,2.4731969036707446,58.44932095639337,3,0.271791321288604,-0.2583009410225935,1,2,0,0,1,0,0,0
4-nitrotoluene,Cc1ccc([N+](=O)[O-])cc1,1,137.138,1.90322,0,2,43.14,1,1,1,10,37.83340000000002,0.14285714285714285,0,240.2879489264805,7.560477932315068,4.698377302757663,6.7360092807424605,2.4731969036707446,58.449320956393365,3,0.26894145561733507,-0.25830963621589803,1,2,0,0,1,0,0,0
"2,4-dinitrotoluene",Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],1,182.135,1.81142,0,4,86.28,2,1,1,13,44.487800000000014,0.14285714285714285,0,374.7553335743196,10.008071689507773,6.019744507803581,9.110744101633394,3.176550566473556,73.10229667889315,6,0.278670384106092,-0.25830597628015206,2,4,0,0,1,0,0,0
"2,6-dinitrotoluene",Cc1c([N+](=O)[O-])cccc1[N+](=O)[O-],1,182.13499999999996,1.81142,0,4,86.28,2,1,1,13,44.487800000000014,0.14285714285714285,0,342.5053335743196,10.008071689507773,6.036581260209188,9.110744101633394,3.176550566473556,73.10229667889315,6,0.278684380944421,-0.25829726349153237,2,4,0,0,1,0,0,0
"1,3-dinitrobenzene",O=[N+]([O-])c1cccc([N+](=O)[O-])c1,1,168.10799999999998,1.503,0,4,86.28,2,1,1,12,39.75080000000001,0.0,0,306.8248996548373,9.137828201504695,5.6090609052806215,8.119800399201598,2.9516118607817234,66.73735456449656,6,0.27580108571268735,-0.258305978673261,2,4,0,0,1,0,0,0
4-nitroanisole,COc1ccc([N+](=O)[O-])cc1,1,153.137,1.6033999999999997,0,3,52.370000000000005,2,1,1,11,39.64840000000002,0.14285714285714285,0,254.89312562732442,8.267584713501616,5.236382105218448,7.52615711252654,3.005223044230256,63.562866185900255,4,0.2691952053150494,-0.4967597347520019,1,3,0,0,1,0,0,0
4-nitrophenol,Oc1ccc([N+](=O)[O-])cc1,1,139.11,1.3003999999999998,1,3,63.370000000000005,1,1,1,10,34.76120000000001,0.0,0,241.67477087439332,7.560477932315068,4.698377302757663,6.538764845605701,2.344994095834573,56.878612594192774,4,0.2691949560161654,-0.5079581647909615,1,3,0,0,1,0,0,0
4-nitroaniline,Nc1ccc([N+](=O)[O-])cc1,1,138.126,1.177,1,3,69.16,1,1,1,10,37.508800000000015,0.0,0,242.4296583765568,7.560477932315068,4.698377302757663,6.538764845605701,2.344994095834573,57.42426953900948,4,0.26907480043028903,-0.3987220829005813,2,2,0,0,1,0,0,0
2-nitroaniline,Nc1ccccc1[N+](=O)[O-],1,138.126,1.177,1,3,69.16,1,1,1,10,37.50880000000001,0.0,0,259.67965837655686,7.560477932315068,4.71521405516327,6.538764845605701,2.344994095834573,57.42426953900948,4,0.29160098401690615,-0.3931676875151401,2,2,0,0,1,0,0,0
3-nitroaniline,Nc1cccc([N+](=O)[O-])c1,1,138.126,1.177,1,3,69.16,1,1,1,10,37.50880000000001,0.0,0,259.67965837655686,7.560477932315068,4.698377302757663,6.538764845605701,2.344994095834573,57.42426953900948,4,0.27098245050641295,-0.3985247880942554,2,2,0,0,1,0,0,0
2-naphthylamine,Nc1ccc2ccccc2c1,1,143.189,2.4220000000000006,1,1,26.02,0,2,2,11,48.36040000000002,0.0,0,379.28449039867843,7.681798275874712,5.360173345306137,6.22562358276644,2.274078478002378,65.45295834824489,1,0.03199260577968057,-0.3987108799581668,1,0,0,0,0,0,0,0
1-naphthylamine,Nc1cccc2ccccc12,1,143.189,2.4220000000000006,1,1,26.02,0,2,2,11,48.36040000000001,0.0,0,374.03449039867843,7.681798275874712,5.377010097711745,6.22562358276644,2.274078478002378,65.45295834824488,1,0.0393211270578291,-0.39822585696205237,1,0,0,0,0,0,0,0
benzidine,Nc1ccc(-c2ccc(N)cc2)cc1,1,184.242,2.5180000000000007,2,2,52.04,1,2,2,14,60.70280000000001,0.0,0,371.5796467381504,9.966255326250886,6.7540201954234895,8.629973277127478,3.4195064921018083,83.16827871958644,2,0.03139114597596018,-0.39872825651048827,2,0,0,0,0,0,0,0
4-aminobiphenyl,Nc1ccc(-c2ccccc2)cc1,1,169.227,2.9358000000000013,1,1,26.02,1,2,2,13,56.29040000000002,0.0,0,375.62904776215686,9.096011838247808,6.360173345306138,7.866895638429664,3.3149108204518427,77.82838802257372,1,0.031391145975687124,-0.39872825651048843,1,0,0,0,0,0,0,0
2-aminofluorene,Nc1ccc2cc3ccccc3cc2c1,1,193.249,3.5752000000000015,1,1,26.02,0,3,3,15,65.86640000000001,0.0,0,640.957112138695,10.25071237662706,7.3264998404949235,8.30165539811872,2.9895520702499834,88.1346228799801,1,0.03199297051149042,-0.3987108776915652,1,0,0,0,0,0,0,0
aniline,Nc1ccccc1,1,93.12899999999999,1.2688000000000001,1,1,26.02,0,1,1,7,30.8544,0.0,0,134.10736969541455,5.112884175122364,3.393846850117352,4.18611295681063,1.6461962159398054,42.771293816509676,1,0.03134759259121864,-0.39872882948659094,1,0,0,0,0,0,0,0
o-toluidine,Cc1ccccc1N,1,107.156,1.57722,1,1,26.02,0,1,1,8,35.59139999999999,0.14285714285714285,0,160.49662946459569,5.983127663125442,3.804530452640311,5.162450142450142,1.8646221994975438,49.13623593090629,1,0.0343208796951809,-0.39851409803684273,1,0,0,0,0,0,0,0
m-toluidine,Cc1cccc(N)c1,1,107.156,1.5772199999999998,1,1,26.02,0,1,1,8,35.59139999999999,0.14285714285714285,0,164.24662946459569,5.983127663125442,3.787693700234704,5.162450142450142,1.8646221994975438,49.13623593090629,1,0.031614018322708416,-0.39872085761311676,1,0,0,0,0,0,0,0
p-toluidine,Cc1ccc(N)cc1,1,107.156,1.5772199999999998,1,1,26.02,0,1,1,8,35.5914,0.14285714285714285,0,143.24662946459569,5.983127663125442,3.787693700234704,5.162450142450142,1.8646221994975438,49.13623593090628,1,0.03136724816814624,-0.3987285645842668,1,0,0,0,0,0,0,0
4-chloroaniline,Nc1ccc(Cl)cc1,1,127.574,1.9222,1,1,26.02,0,1,1,8,35.86440000000002,0.0,0,147.38833891467198,5.983127663125442,3.787693700234704,5.446798905608755,2.052669547891518,53.07456004339135,2,0.04069947851972144,-0.39872744733106535,1,0,1,0,0,0,0,0
"3,4-dichloroaniline",Nc1ccc(Cl)c(Cl)c1,1,162.019,2.5756000000000006,1,1,26.02,0,1,1,9,40.87440000000001,0.0,0,222.29788705001033,6.8533711511285205,4.198377302757663,6.716279069767443,2.4602853745541022,63.377826270273026,3,0.06122662950118546,-0.3986848928023869,1,0,2,0,0,0,0,0
"2,4-diaminotoluene",Cc1ccc(N)cc1N,1,122.17100000000002,1.1594200000000001,2,2,52.04,0,1,1,9,40.0038,0.14285714285714285,0,218.15617759993404,6.8533711511285205,4.198377302757663,5.947877237851663,1.973221425374384,54.476126627918994,2,0.036387420536472,-0.39866697848540367,2,0,0,0,0,0,0,0
4-aminophenol,Nc1ccc(O)cc1,1,109.12799999999999,0.9743999999999999,2,2,46.25,0,1,1,8,32.5192,0.0,0,147.38833891467198,5.983127663125442,3.787693700234704,4.966627565982405,1.7381205361963379,47.56552756870569,2,0.11522676312677685,-0.5079643210254035,1,1,0,0,0,0,0,0
benzo[a]pyrene,c1ccc2cc3ccc4cccc5ccc(c1)c2c3c45,1,252.31599999999997,5.737200000000003,0,0,0.0,0,5,5,20,87.65200000000004,0.0,0,1086.504969716024,13.10408352775558,9.915816237971967,10.21902349550179,3.486521567643158,116.13708612657337,0,-0.00145401708662077,-0.06162897874262152,0,0,0,0,0,0,0,0
chrysene,c1ccc2c(c1)ccc1ccc3ccccc3c12,1,228.29399999999998,5.146200000000003,0,0,0.0,0,4,4,18,78.96000000000005,0.0,0,801.7526221384024,11.949382989376328,8.932652990377573,9.66576917112106,3.5754525382851057,105.47639671470259,0,-0.002681858629672501,-0.06162898709108941,0,0,0,0,0,0,0,0
benz[a]anthracene,c1ccc2cc3ccccc3cc2c1,1,178.23399999999995,3.993000000000002,0,0,0.0,0,3,3,14,61.45400000000003,0.0,0,488.75909858914036,9.38046888862398,6.932652990377571,7.571439103526888,2.8450836230123144,82.79473218296737,0,-0.01776516776969768,-0.061629349784588755,0,0,0,0,0,0,0,0
"7,12-dimethylbenz[a]anthracene",Cc1ccc2cc3c(C)cccc3cc2c1,1,206.288,4.609840000000003,0,0,0.0,0,3,3,16,70.92800000000003,0.125,0,677.2484465766782,11.120955864630139,7.737183443017882,9.409141869664666,3.3442396665209437,95.52461641176059,0,-0.014834546562093279,-0.06136540131157777,0,0,0,0,0,0,0,0
"dibenz[a,h]anthracene",c1ccc2cc3ccc4ccccc4c3cc2c1,1,228.29399999999998,5.146200000000003,0,0,0.0,0,4,4,18,78.96000000000004,0.0,0,866.2526221384028,11.949382989376328,8.915816237971965,9.66576917112106,3.5754525382851057,105.47639671470259,0,-0.00990254742768067,-0.061629349753120066,0,0,0,0,0,0,0,0
methyl methanesulfonate,COS(=O)(=O)C,1,110.13399999999999,-0.40759999999999996,0,3,43.370000000000005,1,0,0,6,21.85279999999999,1.0,0,110.75488750216347,5.207106781186548,2.5606601717798214,5.91,1.5720954551071142,37.05214062957765,4,0.26362280031595087,-0.27367293755241723,0,3,0,1,0,0,0,0
ethyl methanesulfonate,CCOS(=O)(=O)C,1,124.16099999999999,-0.01749999999999985,0,3,43.370000000000005,2,0,0,7,26.46979999999999,1.0,0,123.11544605258784,5.914213562373095,3.060660171779821,6.910000000000001,2.2771807198876104,43.41708274397426,4,0.26387724790258493,-0.27061261016911886,0,3,0,1,0,0,0,0
dimethyl sulfate,COS(=O)(=O)OC,1,126.13299999999998,-0.476,0,4,52.60000000000001,2,0,0,7,22.937799999999992,1.0,0,112.62522105691478,5.914213562373096,3.121320343559643,6.869999999999999,2.24774250890826,42.37468973514255,5,0.3988164840267319,-0.25155018911828,0,4,0,1,0,0,0,0
N-methyl-N-nitrosourea,CNC(=O)N=O,1,88.066,0.0922,1,2,58.53,0,0,0,6,20.2507,0.5,0,69.94833690207419,4.99156383156272,2.808060412490447,5.07,2.315700245700246,34.51030941010844,4,0.3779570796649713,-0.3368105486704079,2,2,0,0,0,1,0,0
N-nitrosodimethylamine,CN(C)N=O,1,74.083,0.22939999999999994,0,2,32.67,1,0,0,5,19.481999999999996,1.0,0,34.62919048309069,4.284457050376173,2.270055610029662,4.400000000000001,1.6941176470588244,30.528894816894983,3,0.0518010397915032,-0.2670155046627136,2,1,0,0,0,1,0,0
N-nitrosodiethylamine,CCN(CC)N=O,1,102.137,1.0095999999999998,0,2,32.67,3,0,0,7,28.715999999999987,1.0,0,51.65148445440323,5.698670612749268,3.3460652149512318,6.4,3.5851851851851855,43.2587790456882,3,0.05232692312256749,-0.26146542469789014,2,1,0,0,0,1,0,0
N-nitrosomorpholine,O=NN1CCOCC1,1,116.12,0.0,0,3,41.900000000000006,1,0,1,8,28.18699999999999,1.0,1,80.10749561002055,5.819990956308912,3.931851652578137,5.495869565217391,2.6144126737025246,47.36649312166584,4,0.06600621287345607,-0.3776358693881593,2,2,0,0,0,0,0,0
N-methyl-N'-nitro-N-nitrosoguanidine,CNC(=NN=O)N[N+](=O)[O-],1,147.094,-0.9755,2,4,108.99000000000001,2,0,0,10,32.4198,0.5,0,164.27599848312957,7.983127663125442,4.701907262607799,8.269999999999998,4.178866271206513,55.387219742502594,8,0.28053971736231087,-0.35328745334940953,5,3,0,0,1,1,0,0
4-chloro-o-phenylenediamine,Nc1ccc(Cl)c(N)c1,1,142.58900000000003,1.5044,2,2,52.04,0,1,1,9,40.2768,0.0,0,222.29788705001033,6.8533711511285205,4.198377302757663,6.233304562268803,2.1504230342026096,58.414450740404064,3,0.06364544053033651,-0.39866583563168695,2,0,1,0,0,0,0,0
2-chloro-4-nitroaniline,Nc1ccc([N+](=O)[O-])cc1Cl,1,172.571,1.8303999999999998,1,3,69.16,1,1,1,11,42.518800000000006,0.0,0,300.6337992264624,8.430721420318147,5.109060905280622,7.812986611740474,2.7545585087790707,67.72753576589115,5,0.27057002467657526,-0.3975160549785139,2,2,1,0,1,0,0,0
"1-chloro-2,4-dinitrobenzene",Clc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],1,202.553,2.1563999999999997,0,4,86.28,2,1,1,13,44.7608,0.0,0,378.8970430243959,10.008071689507773,6.019744507803581,9.39841732979664,3.359310173331615,77.04062079137823,7,0.2942478961038835,-0.25830596631355957,2,4,1,0,1,0,0,0
chlorambucil,OC(=O)CCCc1ccc(N(CCCl)CCCl)cc1,1,304.217,3.377900000000002,1,2,40.54,9,1,1,19,80.66880000000005,0.5,0,375.5372835152444,14.08757566981053,9.168233757796585,16.12534034311013,9.050250670878938,123.67306201087634,5,0.3028514950889796,-0.4812302517004031,1,2,2,0,0,0,0,1
mechlorethamine,ClCCN(C)CCCl,1,156.05599999999998,1.3958000000000002,0,1,3.24,4,0,0,8,38.93700000000001,1.0,0,43.693328434369654,6.405777393935816,3.808060412490447,8.539999999999997,5.672625994694958,60.5653856093827,3,0.03505590660394677,-0.30400231708502023,1,0,2,0,0,0,0,1
cyclophosphamide,ClCCNP1(=O)OCCCN1CCCl,1,261.08899999999994,1.884,1,2,41.57,5,0,1,14,59.19120000000003,1.0,1,215.86647567444427,10.441311299868556,6.726492059082183,12.758073519400952,6.311144001092418,94.44153500749827,7,0.34298354140885867,-0.305966177865779,2,2,2,0,0,0,0,1
PhIP,Cc1ccc(-c2nc3c(N)nccc3[nH]2)cc1,1,224.26700000000002,2.5155200000000004,2,3,67.59,1,3,3,17,68.47410000000002,0.07692307692307693,0,667.4522523288844,11.828062645816686,8.237183443017884,9.83701137204142,3.5894434137291285,98.52345105161285,4,0.15105454723384482,-0.38183882293091037,4,0,0,0,0,0,1,0
Trp-P-1,CN(C)c1ccc2[nH]c3ncccc3c2c1,1,211.26799999999997,2.7821000000000007,1,2,31.92,1,3,3,16,67.92670000000003,0.15384615384615385,0,652.3860659170384,11.120955864630139,7.754020195423489,9.214388645115354,3.2343886836016873,93.71325848392479,3,0.13780268817710664,-0.3776417442223671,3,0,0,0,0,0,1,0
furylfuramide,O=C(Nc1ccc([N+](=O)[O-])o1)c1ccco1,1,222.15599999999998,2.0330999999999997,1,5,98.52,3,2,2,16,52.023600000000016,0.0,0,513.7515541923053,11.543605595440512,7.664703797946449,9.965190555980577,3.8906920374934497,88.80645797426287,7,0.4343283174923613,-0.4591895996992001,2,5,0,0,1,0,0,0
aflatoxin B1 simplified,O=c1oc2c(OC)cc3c(c2c2c1OCO2)C=CO3,1,260.20099999999996,2.2765000000000004,0,6,71.04,1,3,4,19,64.93100000000003,0.15384615384615385,1,856.8078881887162,12.982763184195939,9.292024997884274,10.30711621817771,3.4411041702874523,105.62008913488167,6,0.3828119510390046,-0.49266900604357755,0,6,0,0,0,0,0,0
4-aminoazobenzene,Nc1ccc(/N=N/c2ccccc2)cc1,1,197.24100000000004,3.6842000000000015,1,3,50.739999999999995,2,2,2,15,61.47240000000003,0.0,0,446.0532648827137,10.510225400620904,7.343336592900531,9.3971519262254,4.371400189024512,88.2751658670628,3,0.0858103632049922,-0.39872675178147654,3,0,0,0,0,0,0,0
Sudan I,Oc1ccc(/N=N/c2ccccc2)cc1,1,198.22500000000005,3.8076000000000025,1,3,44.95,2,2,2,15,58.72480000000003,0.0,0,448.8081523848772,10.510225400620904,7.343336592900531,9.3971519262254,4.371400189024512,87.7295089222461,3,0.11523231148054822,-0.5079642754871322,2,1,0,0,0,0,0,0
methanol,CO,0,32.042,-0.3915,1,1,20.23,0,0,0,2,8.1428,1.0,0,2.0,2.0,1.0,1.96,0.9600000000000016,13.533484780025564,1,0.031940683717728124,-0.3996302435573072,0,1,0,0,0,0,0,0
ethanol,CCO,0,46.069,-0.0014000000000000123,1,1,20.23,0,0,0,3,12.759800000000002,1.0,0,2.7548875021634682,2.7071067811865475,1.4142135623730951,2.9600000000000004,1.96,19.89842689442217,1,0.04022058174908642,-0.3966637147812598,0,1,0,0,0,0,0,0
1-propanol,CCCO,0,60.096,0.3887,1,1,20.23,1,0,0,4,17.376800000000003,1.0,0,5.245112497836532,3.414213562373095,1.914213562373095,3.9600000000000004,2.9600000000000004,26.26336900881878,1,0.04278927992053378,-0.39638735063233616,0,1,0,0,0,0,0,0
1-butanol,CCCCO,0,74.12299999999999,0.7787999999999999,1,1,20.23,2,0,0,5,21.993799999999997,1.0,0,11.119415478763749,4.121320343559642,2.414213562373095,4.960000000000001,3.9600000000000004,32.62831112321538,1,0.043042283485206966,-0.39637675206921097,0,1,0,0,0,0,0,0
acetone,CC(C)=O,0,58.080000000000005,0.5952999999999999,0,1,17.07,0,0,0,4,16.355,0.6666666666666666,0,26.264662506490403,3.5773502691896257,1.7320508075688772,3.67,1.0445318352059925,25.63065735666653,1,0.12626794356014373,-0.30034390268719197,0,1,0,0,0,0,0,0
acetic acid,CC(=O)O,0,60.05200000000001,0.09089999999999993,1,1,37.3,0,0,0,4,13.309800000000001,0.5,0,27.019550008653873,3.5773502691896257,1.7320508075688772,3.4699999999999998,0.8748582995951415,24.059948994465934,2,0.2996845531582142,-0.481433475172105,0,2,0,0,0,0,0,0
