compound,smiles,mutagenic,MW,LogP,HBD,HBA,TPSA,RotBonds,AromaticRings,RingCount,HeavyAtoms,MolMR,FractionCSP3,NumAliphaticRings,BertzCT,Chi0,Chi1,Kappa1,Kappa2,LabuteASA,NumHeteroatoms,MaxPartialCharge,MinPartialCharge,NumNitrogens,NumOxygens,NumHalogens,NumSulfurs,HasNitroGroup,HasNitroso,HasAromaticAmine,HasAlkylHalide
propionic acid,CCC(=O)O,0,74.079,0.481,1,1,37.3,1,0,0,5,17.9268,0.6666666666666666,0,40.1577218810798,4.284457050376173,2.270055610029662,4.469999999999999,1.7581844380403455,30.42489110886254,2,0.30255843749205596,-0.4812379170193394,0,2,0,0,0,0,0,0
ethyl acetate,CCOC(C)=O,0,88.106,0.5694,0,2,26.3,1,0,0,6,22.30699999999999,0.75,0,49.50977500432694,4.99156383156272,2.770055610029662,5.469999999999999,2.693713646532438,37.10914470057002,2,0.3021127777269908,-0.4661718899744166,0,2,0,0,0,0,0,0
glycerol,OCC(O)CO,0,92.09400000000001,-1.6681000000000001,3,3,60.69,2,0,0,6,20.1784,1.0,0,25.219280948873624,4.99156383156272,2.808060412490447,5.88,3.0849180327868857,35.851836513210806,3,0.10004702601723478,-0.3935933161206694,0,3,0,0,0,0,0,0
glucose,OCC1OC(O)C(O)C(O)C1O,0,180.156,-3.2214000000000005,5,6,110.38000000000001,1,0,1,12,35.986,1.0,1,146.2188491003481,9.300964908321225,5.574586062669973,9.845034013605442,3.6489161032347726,68.64284443677029,6,0.183570328512782,-0.3935665160029449,0,6,0,0,0,0,0,0
sucrose,OCC1OC(CO)(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,0,342.297,-5.395599999999993,8,11,189.52999999999997,5,0,2,23,68.64140000000003,1.0,2,393.2032272794937,17.361442840636293,10.806896738665586,18.89235232228663,7.207281294562587,130.4364576852225,11,0.2235503336827939,-0.39356651499978823,0,11,0,0,0,0,0,0
urea,NC(N)=O,0,60.056,-0.9762000000000002,2,1,69.11,0,0,0,4,13.7708,0.0,0,29.019550008653873,3.5773502691896257,1.7320508075688772,3.2700000000000005,0.7105286343612336,23.580554521898744,3,0.309056401422831,-0.3518462395056391,2,1,0,0,0,0,0,0
glycine,NCC(=O)O,0,75.067,-0.9702999999999999,2,2,63.32000000000001,1,0,0,5,16.6902,0.5,0,42.91260938324327,4.284457050376173,2.270055610029662,4.43,1.7215451895043727,29.39983969147865,3,0.31675597840558584,-0.4802971300243957,1,2,0,0,0,0,0,0
alanine,CC(N)C(=O)O,0,89.09399999999998,-0.5817999999999999,2,2,63.32000000000001,1,0,0,6,21.285200000000003,0.6666666666666666,0,59.813537528125096,5.1547005383792515,2.6427344100918364,5.43,1.7676338396942162,35.76478180587526,3,0.3196779563386595,-0.4800942338470611,1,2,0,0,0,0,0,0
chloroform,ClC(Cl)Cl,0,119.37800000000001,1.9864,0,0,0.0,0,0,0,4,21.346999999999998,1.0,0,8.0,3.5773502691896257,1.7320508075688772,4.87,2.128397932816538,39.64904970847457,3,0.18010663547779673,-0.08741152777904436,0,0,3,0,0,0,0,1
dichloromethane,ClCCl,0,84.93299999999999,1.4215,0,0,0.0,0,0,0,3,16.573,1.0,0,2.7548875021634682,2.7071067811865475,1.4142135623730951,3.5799999999999996,2.58,29.3457834815929,2,0.09670639037649198,-0.10913232990050524,0,0,2,0,0,0,0,1
carbon tetrachloride,ClC(Cl)(Cl)Cl,0,153.823,2.5529,0,0,0.0,0,0,0,5,26.143,1.0,0,19.11941547876375,4.5,2.0,6.16,1.7418482569208207,49.952315935356246,4,0.26568521128753525,-0.06642130282188381,0,0,4,0,0,0,0,1
trichloroethylene,ClC(=CCl)Cl,0,131.389,2.5017000000000005,0,0,0.0,0,0,0,5,25.642,0.0,0,42.854752972273346,4.284457050376173,2.270055610029662,5.609999999999999,2.826919739696312,45.324388790686925,3,0.1176031867403948,-0.0903590844896965,0,0,3,0,0,0,0,1
fluorobenzene,Fc1ccccc1,0,96.10399999999998,1.8256999999999999,0,0,0.0,0,1,1,7,26.399999999999995,0.0,0,134.10736969541455,5.112884175122364,3.393846850117352,4.31260162601626,1.7349674800723753,41.596938522423194,1,0.12270724034937247,-0.20701252212638083,0,0,1,0,0,0,0,0
chlorobenzene,Clc1ccccc1,0,112.55899999999997,2.34,0,0,0.0,0,1,1,7,31.451999999999998,0.0,0,134.10736969541455,5.112884175122364,3.393846850117352,4.663609831029186,1.9871232675119368,47.73466934637863,1,0.04054844089419866,-0.08434447652490142,0,0,1,0,0,0,0,0
bromobenzene,Brc1ccccc1,0,157.01,2.4491000000000005,0,0,0.0,0,1,1,7,34.142,0.0,0,134.10736969541455,5.112884175122364,3.393846850117352,4.849253731343284,2.123680215888008,51.298950725138326,1,0.017475282511436593,-0.0621899905650267,0,0,1,0,0,0,0,0
benzene,c1ccccc1,0,78.11399999999999,1.6866,0,0,0.0,0,1,1,6,26.441999999999993,0.0,0,71.96100505779535,4.242640687119286,3.0,3.4115708812260532,1.6057694396735218,37.43140311949697,0,-0.062268570782092456,-0.062268570782092456,0,0,0,0,0,0,0,0
toluene,Cc1ccccc1,0,92.14099999999999,1.99502,0,0,0.0,0,1,1,7,31.17899999999999,0.14285714285714285,0,129.96566024533826,5.112884175122364,3.393846850117352,4.380771704180065,1.7832860398554335,43.79634523389357,0,-0.039774526323627504,-0.06224908578199481,0,0,0,0,0,0,0,0
naphthalene,c1ccc2ccccc2c1,0,128.17399999999995,2.839800000000001,0,0,0.0,0,2,2,10,43.94800000000003,0.0,0,271.01518240905483,6.811554787871634,4.9663264951887856,5.482229779997874,2.143052886105772,60.11306765123217,0,-0.018404250672442266,-0.06162971144687501,0,0,0,0,0,0,0,0
phenol,Oc1ccccc1,0,94.11299999999999,1.3921999999999999,1,1,20.23,0,1,1,7,28.106799999999993,0.0,0,134.10736969541455,5.112884175122364,3.393846850117352,4.18611295681063,1.6461962159398054,42.22563687169298,1,0.11507481947527982,-0.5079669948663066,0,1,0,0,0,0,0,0
benzaldehyde,O=Cc1ccccc1,0,106.12399999999997,1.4990999999999999,0,1,17.07,1,1,1,8,31.829499999999992,0.0,0,167.00151696675914,5.819990956308912,3.931851652578137,5.035137880986937,2.262450086021194,47.95786733393734,1,0.14954802883036308,-0.2978964116504968,0,1,0,0,0,0,0,0
benzoic acid,OC(=O)c1ccccc1,0,122.12299999999996,1.3848,1,1,37.3,1,1,1,9,33.4013,0.0,0,203.415952604261,6.69023444431199,4.304530452640311,5.820039011703511,2.306763635550358,52.75210108613335,2,0.3351782346710392,-0.47763925058011736,0,2,0,0,0,0,0,0
acetophenone,CC(=O)c1ccccc1,0,120.15099999999995,1.8892,0,1,17.07,1,1,1,9,36.44650000000001,0.125,0,201.06743705866424,6.69023444431199,4.304530452640311,6.016742712294044,2.4437525520871133,54.32280944833394,1,0.15929849657429365,-0.2945122071568907,0,1,0,0,0,0,0,0
anisole,COc1ccccc1,0,108.13999999999997,1.6952,0,1,9.23,1,1,1,8,32.99399999999999,0.14285714285714285,0,145.73281445033504,5.819990956308912,3.931851652578137,5.162450142450142,2.3586048594225155,48.90989046340045,1,0.11835771513702235,-0.4967685686134767,0,1,0,0,0,0,0,0
styrene,C=Cc1ccccc1,0,104.15199999999997,2.3296,0,0,0.0,1,1,1,8,36.53300000000001,0.0,0,162.65300142116237,5.819990956308912,3.931851652578137,5.10367816091954,2.3141072195146584,49.47168431610592,0,-0.02625578937784246,-0.09847005004016512,0,0,0,0,0,0,0,0
biphenyl,c1ccc(-c2ccccc2)cc1,0,154.21199999999996,3.353600000000001,0,0,0.0,1,2,2,12,51.87800000000003,0.0,0,297.4313204906765,8.225768350244728,5.9663264951887856,7.108736857548047,3.2249464015776437,72.48849732556099,0,-0.018404256076149473,-0.062225394893666276,0,0,0,0,0,0,0,0
aspirin,CC(=O)Oc1ccccc1C(=O)O,0,180.15899999999996,1.3101,1,3,63.60000000000001,2,1,1,13,44.71030000000002,0.1111111111111111,0,343.2228677267164,9.844934982691242,6.109060905280622,9.249605734767023,3.7092512583454584,74.75705264447721,4,0.33900378687731025,-0.4775395271554559,0,4,0,0,0,0,0,0
acetaminophen,CC(=O)Nc1ccc(O)cc1,0,151.165,1.3505999999999998,2,2,49.33,1,1,1,11,42.41050000000002,0.125,0,253.29949758389105,8.267584713501616,5.1815405503520555,7.595374077976819,3.0531381005525,64.66690538413799,3,0.22074743631242583,-0.5079643157925783,1,2,0,0,0,0,0,0
ibuprofen,CC(C)Cc1ccc(C(C)C(=O)O)cc1,0,206.28499999999997,3.073200000000001,1,1,37.3,4,1,1,15,61.03480000000004,0.46153846153846156,0,324.8941190021566,11.422285251880869,7.002907755397974,11.763046018991963,4.964460295417243,90.94175377251302,2,0.3101853515323108,-0.4807885019257389,0,2,0,0,0,0,0,0
caffeine,Cn1cnc2c1c(=O)n(C)c(=O)n2C,0,194.194,-1.0293,0,3,61.82,0,2,2,14,51.19600000000001,0.375,0,616.5285919942219,10.455665446700477,6.5365812602091875,8.73523326923911,2.5679479011227926,79.02895701814933,6,0.3317034326359889,-0.3278634660994821,4,2,0,0,0,0,1,0
warfarin,OC(=O)CC(c1ccccc1)c1ccc(O)cc1,0,242.274,2.998800000000001,2,2,57.53,4,2,2,18,68.64460000000003,0.13333333333333333,0,517.1947945489237,12.957819157813608,8.664703797946448,12.174429825362497,5.361092663978125,105.33331327318662,3,0.30380537655390344,-0.5079666391622811,0,3,0,0,0,0,0,0
saccharin,O=C1NS(=O)(=O)c2ccccc21,0,183.18800000000002,0.11869999999999997,1,3,63.24,0,1,2,12,41.094000000000015,0.0,1,449.4742221869951,8.767584713501616,5.610990332435968,7.297762662226473,2.071155482694469,69.26267425643123,5,0.2658977654618521,-0.2681635002335224,1,3,0,1,0,0,0,0
salicylic acid,OC(=O)c1ccccc1O,0,138.12199999999999,1.0903999999999998,2,2,57.53,1,1,1,10,35.066100000000006,0.0,0,254.78306142431708,7.560477932315068,4.71521405516327,6.607785630153122,2.389632707443791,57.54633483832936,3,0.33896908736073095,-0.507052890945198,0,3,0,0,0,0,0,0
vanillin,COc1ccc(C=O)cc1O,0,152.14899999999997,1.2132999999999998,1,3,46.53,2,1,1,11,40.046300000000016,0.125,0,268.03972257956417,8.267584713501616,5.274386907679232,7.595374077976819,3.0531381005525,64.23058843003683,3,0.16002216895223326,-0.5042389139064142,0,3,0,0,0,0,0,0
coumarin,O=C1OC2=CC=CC=C2C=C1,0,146.14499999999998,1.793,0,2,30.21,0,2,2,11,42.484000000000016,0.0,0,428.5108208761056,7.681798275874712,5.360173345306137,6.160248407637458,2.234974333040861,63.07940657528497,2,0.33569031616433825,-0.4227294736611369,0,2,0,0,0,0,0,0
caprolactam,O=C1CCCCCN1,0,113.16000000000001,0.6766000000000001,1,1,29.1,0,0,1,8,31.477699999999988,0.8333333333333334,1,80.52932501298082,5.819990956308912,3.893846850117352,5.603868808567603,2.6984359410043637,49.26951472993517,2,0.21949405032902752,-0.3561070295708626,1,1,0,0,0,0,0,0
dimethyl sulfoxide,CS(C)=O,0,78.136,-0.005299999999999971,0,1,17.07,0,0,0,4,19.990399999999998,1.0,0,29.019550008653873,3.5773502691896257,1.7320508075688772,4.150000000000002,1.4674603174603182,28.478447345802074,2,0.014804214088221839,-0.2601579626577377,0,1,0,1,0,0,0,0
N-methylpyrrolidone,CN1CCCC1=O,0,99.133,0.23859999999999992,0,1,20.310000000000002,0,0,1,7,26.870999999999988,0.8,1,90.08094399727418,5.276020881938894,3.304530452640311,4.624559505409582,1.5234757718400516,43.11454410213389,2,0.2218735635044728,-0.34574891494977367,1,1,0,0,0,0,0,0
cyclohexane,C1CCCCC1,0,84.162,2.3406000000000002,0,0,0.0,0,0,1,6,27.701999999999984,1.0,1,15.509775004326936,4.242640687119286,3.0,4.166666666666667,2.2222222222222223,39.55813044628337,0,-0.0533059727891157,-0.0533059727891157,0,0,0,0,0,0,0,0
cyclohexanol,OC1CCCCC1,0,100.161,1.3114,1,1,20.23,0,0,1,7,29.091799999999985,1.0,1,46.14170945007629,5.112884175122364,3.393846850117352,5.10367816091954,2.3141072195146584,44.35236419847938,1,0.053984774844812504,-0.39313138246784024,0,1,0,0,0,0,0,0
cyclohexanone,O=C1CCCCC1,0,98.14500000000001,1.5196,0,1,17.07,0,0,1,7,28.091999999999985,0.8333333333333334,1,68.24920506009684,5.112884175122364,3.393846850117352,4.8199250374812594,2.101967961325131,43.719652546327126,1,0.13241132759858107,-0.2997179089731855,0,1,0,0,0,0,0,0
diethyl ether,CCOCC,0,74.123,1.0428000000000002,0,1,9.23,2,0,0,5,22.166999999999994,1.0,0,11.119415478763749,4.121320343559642,2.414213562373095,4.960000000000001,3.9600000000000004,32.94762260052625,1,0.043708412524692805,-0.3820258357826421,0,1,0,0,0,0,0,0
tetrahydrofuran,C1CCOC1,0,72.107,0.7968,0,1,9.23,0,0,1,5,20.052999999999997,1.0,1,15.219280948873621,3.5355339059327378,2.5,3.1616129032258065,1.4103121748178982,31.941791446997026,1,0.046638169849841704,-0.3814493819627182,0,1,0,0,0,0,0,0
"1,4-dioxane",C1COCCO1,0,88.106,0.03320000000000001,0,2,18.46,0,0,1,6,21.637999999999995,1.0,1,21.019550008653873,4.242640687119286,3.0,4.088918918918919,2.157216946676406,37.055336676503906,2,0.07011439546557022,-0.37666763607345255,0,2,0,0,0,0,0,0
dimethylformamide,CN(C)C=O,0,73.095,-0.2956000000000001,0,1,20.310000000000002,1,0,0,5,19.750999999999998,0.6666666666666666,0,33.87430298092722,4.284457050376173,2.270055610029662,4.469999999999999,1.7581844380403455,31.390491026869903,2,0.2086847180796838,-0.35138679501082243,1,1,0,0,0,0,0,0
pyridine,c1ccncc1,0,79.10199999999998,1.0816,0,1,12.89,0,1,1,6,24.236999999999995,0.0,0,75.86113958768547,4.242640687119286,3.0,3.3441747572815532,1.5525827127910268,36.651051100443475,1,0.02672876829526118,-0.264736970888988,1,0,0,0,0,0,1,0
quinoline,c1ccnc2ccccc12,0,129.16199999999995,2.2348,0,1,12.89,0,2,2,10,41.74300000000002,0.0,0,275.7051383449476,6.811554787871634,4.9663264951887856,5.41760450263056,2.102543034625171,59.33271563217868,1,0.07014348447327305,-0.25626672847773607,1,0,0,0,0,0,1,0
indole,c1ccc2[nH]ccc2c1,0,117.15099999999997,2.1678999999999995,1,0,15.79,0,2,2,9,38.29870000000001,0.0,0,278.54542122074673,6.104448006685086,4.4663264951887856,4.621116323679656,1.6217242815493544,53.322228072246475,1,0.04533934729771151,-0.3611762912891017,1,0,0,0,0,0,1,0
imidazole,c1cnc[nH]1,0,68.079,0.40969999999999995,1,1,28.68,0,1,1,5,18.5877,0.0,0,61.369930610534254,3.5355339059327378,2.5,2.4475296912114013,0.8845561128632765,29.860211521457774,2,0.09190960426066128,-0.35117678564585386,2,0,0,0,0,0,1,0
morpholine,C1COCCN1,0,87.122,-0.3938000000000001,1,2,21.259999999999998,0,0,1,6,23.688699999999994,1.0,1,23.019550008653873,4.242640687119286,3.0,4.088918918918919,2.157216946676406,37.49165363060507,2,0.05910807224558097,-0.37881251357971846,1,1,0,0,0,0,0,0
piperidine,C1CCNCC1,0,85.15,0.7599,1,1,12.03,0,0,1,6,26.72069999999999,1.0,1,19.40990953421706,4.242640687119286,3.0,4.127785234899329,2.189674338993739,38.743050515494794,1,-0.004891140011689818,-0.3167325809905548,1,0,0,0,0,0,0,0
thiophene,c1ccsc1,0,84.14299999999999,1.7480999999999998,0,1,0.0,0,1,1,5,24.318999999999996,0.0,0,60.12481811269772,3.5355339059327378,2.5,2.9127659574468083,1.2210502489814397,35.07176638990846,1,-0.009338438056026077,-0.152454341484825,0,0,0,1,0,0,0,0
atrazine,CCNc1nc(Cl)nc(NC(C)C)n1,0,215.68800000000002,1.7770999999999997,2,5,62.730000000000004,4,1,1,14,57.75940000000002,0.625,0,301.78315486014867,10.55204176387779,6.613392202930193,10.977519379844964,4.95024333881867,88.3180482284173,6,0.22849708692226087,-0.3543182635074518,5,0,1,0,0,0,1,0
"2,4-D",OC(=O)COc1ccc(Cl)cc1Cl,0,221.039,2.4568000000000003,1,2,46.53,3,1,1,13,49.59280000000002,0.125,0,325.16521978178946,9.844934982691242,6.092224152875015,10.15285004142502,4.34685154672948,84.83712088380017,5,0.3412236092634533,-0.48034844459329457,0,3,2,0,0,0,0,0
malathion,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,0,330.3640000000001,2.1218000000000004,0,8,71.06,9,0,0,19,77.56500000000004,0.8,0,340.9115786798855,14.88890505706126,8.918362620557913,18.859999999999996,9.715029932282086,121.96590766908359,9,0.31969382264975577,-0.4659275615510423,0,6,0,2,0,0,0,0
D-limonene,CC1=CCC(=CC1)C(C)=C,0,134.22199999999998,3.229000000000002,0,0,0.0,1,0,1,10,45.88800000000003,0.4,1,204.07820003461555,7.560477932315068,4.698377302757663,7.328459869848157,2.8694839561664094,62.94908980731702,0,-0.009539840068394439,-0.0958382287814418,0,0,0,0,0,0,0,0
menthol,CC(C)C1CCC(C)CC1O,0,156.269,2.439500000000001,1,1,20.23,1,0,1,11,47.34980000000002,1.0,1,120.04118472439221,8.430721420318147,5.109060905280621,9.05124087591241,3.5728285052475055,69.8121326560658,1,0.05729302557713654,-0.39282090888948124,0,1,0,0,0,0,0,0
camphor,CC1(C)C2CCC1(C)C(=O)C2,0,152.237,2.401700000000001,0,1,17.07,0,0,2,11,44.23600000000002,0.9,2,216.91266689075218,8.276020881938894,4.982998800364114,7.326147454014241,1.701311022684903,68.17358985038433,1,0.13909874627049695,-0.2990642887496957,0,1,0,0,0,0,0,0
linalool,CC(C)=CCCC(C)(O)C=C,0,154.253,2.6698000000000013,1,1,20.23,4,0,0,11,49.485800000000026,0.6,0,150.25571236699292,8.905777393935816,4.97716239121621,10.44,4.345263593221741,69.43875774522651,1,0.0799543275016631,-0.38609150256085306,0,1,0,0,0,0,0,0
alpha-pinene,CC1=CCC2CC1C2(C)C,0,136.238,2.9987000000000013,0,0,0.0,0,0,3,10,43.75200000000002,0.8,3,186.21499122004107,7.3533711511285205,4.621027033568037,6.450201165867344,1.6637425470500236,63.322464718156304,0,-0.014892219704730342,-0.08501290675016873,0,0,0,0,0,0,0,0
carvone,CC(=C)C1CC=C(C)C(=O)C1,0,150.22099999999998,2.4879000000000007,0,1,17.07,1,0,1,11,46.30200000000003,0.5,1,223.02727634487286,8.430721420318147,5.1090609052806215,8.248522167487685,3.0354524341669897,67.80021493954504,1,0.15836923542949272,-0.2945568590881993,0,1,0,0,0,0,0,0
phenylalanine,NC(Cc1ccccc1)C(=O)O,0,165.19199999999995,0.641,2,2,63.32000000000001,3,1,1,12,45.75720000000002,0.2222222222222222,0,258.4908622767174,8.974691494688164,5.698377302757663,8.743896713615024,3.8752009284976325,70.82187601193928,3,0.32031550163956013,-0.48007770020344237,1,2,0,0,0,0,0,0
tryptophan,NC(Cc1c[nH]c2ccccc12)C(=O)O,0,204.22899999999998,1.1223000000000003,3,2,79.11,3,2,2,15,57.61390000000001,0.18181818181818182,0,490.0485079143074,10.836498814253964,7.1815405503520555,9.733912004652456,3.744477633359755,86.71270096468879,4,0.32031692105916915,-0.4800776923593587,2,2,0,0,0,0,1,0
tyrosine,NC(Cc1ccc(O)cc1)C(=O)O,0,181.19099999999997,0.3466,3,3,83.55,3,1,1,13,47.42200000000002,0.2222222222222222,0,294.23305328030176,9.844934982691242,6.092224152875014,9.537336244541484,3.909515505702705,75.6161097641353,4,0.32031550178849594,-0.5079666451758841,1,3,0,0,0,0,0,0
